####,,
Spec,Value,
Road Trip Package (Dealer),Available,850
Roof Rack Cross Rails (Dealer),Available,695
Sport Pedal Kit (Dealer),Available,195
Summit White,Available,0
Trailering Package (Dealer),Available,725
Vertical Cargo Net (Dealer),Available,95
Wheel Locks (Dealer),Available,125
Whisper Beige Cloth with Leatherette,Available,0
####,,
safety,Rating,
NHTSA Rating Front Driver,5,
NHTSA Rating Front Passenger,5,
NHTSA Rating Front Side,5,
NHTSA Rating Overall,5,
NHTSA Rating Rear Side,5,
NHTSA Rating Rollover,4,
